doi	received	accepted	published
10.1371/journal.pmed.1001237	2011-06-08	2012-05-03	2012-06-12
10.1371/journal.ppat.1000287	2008-06-25	2009-01-08	2009-02-06
10.1371/journal.pone.0066961	2013-02-27	2013-05-14	2013-06-26
10.1371/journal.pone.0067874	2013-03-05	2013-05-23	2013-06-27
10.1371/journal.pntd.0003102	2014-01-23	2014-07-07	2014-08-21
10.1371/journal.pgen.1004620	2014-02-26	2014-07-21	2014-09-18
10.1371/journal.pone.0114298	2014-08-06	2014-11-07	2014-12-05
10.1371/journal.ppat.1000788	2008-06-02	2010-01-22	2010-02-26
10.1371/journal.pntd.0000490	2009-01-12	2009-06-24	2009-07-28
10.1371/journal.pcbi.1004041	2014-08-19	2014-11-16	2015-02-12
10.1371/journal.pcbi.0020041	2005-10-18	2006-03-17	2006-05-12
10.1371/journal.pgen.1000565	2009-04-06	2009-06-17	2009-07-17
10.1371/journal.ppat.0030106	2007-04-25	2007-06-07	2007-07-27
10.1371/journal.ppat.1002909	2012-03-09	2012-08-02	2012-09-06
10.1371/journal.pntd.0001697	2011-08-18	2012-05-02	2012-06-19
10.1371/journal.pntd.0002770	2013-12-23	2014-02-18	2014-04-10
10.1371/journal.pntd.0003829	2015-03-09	2015-05-14	2015-06-03
10.1371/journal.pntd.0003156	2014-05-29	2014-07-22	2014-09-11
10.1371/journal.pntd.0002972	2013-07-17	2014-05-13	2014-07-10
10.1371/journal.pcbi.0030062	2006-11-30	2007-02-16	2007-04-06
10.1371/journal.pone.0025289	2011-07-03	2011-08-31	2011-09-22
10.1371/journal.pcbi.1002371	2011-07-01	2011-12-20	2012-02-09
10.1371/journal.pbio.1000407	2010-03-26	2010-05-18	2010-06-29
10.1371/journal.ppat.1001288	2010-07-08	2011-01-10	2011-02-17
10.1371/journal.ppat.1003290	2012-08-29	2013-02-21	2013-04-04
10.1371/journal.pbio.1000497	2010-02-11	2010-08-17	2010-10-05
10.1371/journal.pone.0016001	2010-09-28	2010-12-02	2010-12-30
10.1371/journal.pntd.0001874	2012-07-18	2012-09-10	2012-10-25
10.1371/journal.pmed.0050222	2008-04-25	2008-09-30	2008-11-18
10.1371/journal.pcbi.0030174	2007-03-07	2007-07-25	2007-09-28
10.1371/journal.pgen.0020068	2006-01-31	2006-03-23	2006-05-26
10.1371/journal.ppat.1000912	2009-12-09	2010-04-19	2010-05-20
10.1371/journal.pntd.0001935	2012-06-14	2012-10-18	2012-12-06
10.1371/journal.pcbi.1000403	2008-08-26	2009-05-04	2009-06-05
10.1371/journal.pbio.1000408	2010-03-12	2010-05-19	2010-06-29
10.1371/journal.pcbi.1002564	2011-10-27	2012-05-03	2012-07-12
10.1371/journal.pntd.0003647	2014-08-26	2015-02-25	2015-03-25
10.1371/journal.pcbi.1000607	2009-06-17	2009-11-12	2009-12-18
10.1371/journal.ppat.1004445	2014-06-23	2014-09-03	2014-10-09
10.1371/journal.ppat.1002238	2011-02-21	2011-07-11	2011-09-01
10.1371/journal.pmed.1001628	2013-08-19	2014-02-28	2014-04-15
10.1371/journal.pntd.0002837	2013-11-27	2014-03-20	2014-05-01
10.1371/journal.pgen.1003050	2011-12-05	2012-09-12	2012-11-08
10.1371/journal.pntd.0002799	2013-08-23	2014-03-02	2014-04-17
10.1371/journal.pcbi.1002942	2012-01-04	2013-01-10	2013-03-07
10.1371/journal.pntd.0001174	2011-02-08	2011-04-01	2011-05-24
10.1371/journal.pbio.1000135	2009-03-30	2009-05-13	2009-06-23
10.1371/journal.pntd.0001257	2011-03-30	2011-06-14	2011-08-02
10.1371/journal.pgen.1000385	2008-09-23	2009-01-20	2009-02-20
10.1371/journal.pbio.1001245	2011-06-02	2011-12-05	2012-01-17
10.1371/journal.ppat.1004091	2013-10-09	2014-03-11	2014-04-17
10.1371/journal.pntd.0001792	2012-01-09	2012-07-11	2012-08-28
10.1371/journal.pbio.1000200	2009-02-16	2009-08-12	2009-09-22
10.1371/journal.pgen.0010030	2005-07-12	2005-08-01	2005-09-02
10.1371/journal.pcbi.1000149	2007-08-22	2008-07-07	2008-08-22
10.1371/journal.pgen.1001256	2010-07-07	2010-11-19	2010-12-23
10.1371/journal.pntd.0002434	2013-03-15	2013-08-08	2013-09-12
10.1371/journal.pone.0059128	2012-06-20	2013-02-12	2013-03-20
10.1371/journal.pntd.0002764	2013-09-20	2014-02-16	2014-04-03
10.1371/journal.ppat.1002339	2011-03-31	2011-09-14	2011-10-27
10.1371/journal.pone.0065575	2013-03-09	2013-04-27	2013-06-05
10.1371/journal.pgen.0030128	2007-03-26	2007-06-20	2007-08-03
10.1371/journal.pone.0034937	2011-11-18	2012-03-11	2012-04-26
10.1371/journal.pcbi.1003213	2013-03-15	2013-07-23	2013-09-05
10.1371/journal.pntd.0002133	2012-09-14	2013-02-09	2013-03-28
10.1371/journal.pgen.1004603	2013-08-09	2014-07-14	2014-09-04
10.1371/journal.pbio.1001048	2010-12-07	2011-03-09	2011-04-19
10.1371/journal.pntd.0001190	2011-01-24	2011-04-20	2011-06-07
10.1371/journal.pcbi.0020046	2005-11-14	2006-03-23	2006-05-05
10.1371/journal.pcbi.1000791	2010-01-12	2010-04-21	2010-05-20
10.1371/journal.pone.0054559	2012-08-13	2012-12-14	2013-01-28
10.1371/journal.pcbi.1003155	2012-09-13	2013-06-10	2013-07-18
10.1371/journal.ppat.1000831	2009-08-27	2010-02-23	2010-03-26
10.1371/journal.pntd.0002268	2012-09-24	2013-05-01	2013-07-25
10.1371/journal.pcbi.1003788	2014-03-04	2014-07-01	2014-08-21
10.1371/journal.pntd.0001352	2011-06-09	2011-08-25	2011-10-04
10.1371/journal.ppat.1002084	2011-01-18	2011-04-11	2011-06-16
10.1371/journal.pone.0101730	2014-02-04	2014-06-10	2014-07-14
10.1371/journal.pntd.0001728	2012-02-12	2012-05-22	2012-07-10
10.1371/journal.pntd.0001303	2011-05-05	2011-07-20	2011-09-06
10.1371/journal.pcbi.1003033	2012-10-29	2013-02-28	2013-04-11
10.1371/journal.pone.0050229	2012-03-01	2012-10-22	2012-12-04
10.1371/journal.pgen.1005110	2014-06-04	2015-02-27	2015-03-31
10.1371/journal.pntd.0000988	2010-08-25	2011-02-15	2011-03-22
10.1371/journal.pntd.0003552	2014-08-18	2015-01-21	2015-03-13
10.1371/journal.pntd.0002588	2013-08-25	2013-10-30	2013-12-05
10.1371/journal.pcbi.1000371	2008-07-30	2009-03-20	2009-04-24
10.1371/journal.pone.0061065	2012-11-01	2013-03-05	2013-04-15
10.1371/journal.pmed.1001462	2012-11-03	2013-04-24	2013-06-04
10.1371/journal.pone.0059821	2010-07-05	2013-02-21	2013-03-21
10.1371/journal.pgen.1004195	2013-09-26	2014-01-06	2014-03-06
10.1371/journal.pntd.0002712	2013-06-06	2014-01-09	2014-02-20
10.1371/journal.pone.0106314	2014-03-10	2014-07-29	2014-09-12
10.1371/journal.ppat.1001317	2010-08-31	2011-02-10	2011-03-17
10.1371/journal.pone.0113184	2014-07-11	2014-10-21	2014-12-01
10.1371/journal.pgen.1003022	2011-12-01	2012-08-23	2012-11-15
10.1371/journal.ppat.1003495	2013-02-03	2013-05-28	2013-07-11
10.1371/journal.pgen.1004317	2013-05-29	2014-03-07	2014-05-08
10.1371/journal.pntd.0002354	2013-04-24	2013-06-17	2013-08-08
10.1371/journal.pone.0065235	2013-03-18	2013-04-23	2013-06-12
10.1371/journal.ppat.1002041	2010-12-15	2011-03-08	2011-05-19
10.1371/journal.pntd.0001912	2012-07-15	2012-10-03	2012-11-29
10.1371/journal.pntd.0000214	2007-11-16	2008-02-14	2008-04-09
10.1371/journal.ppat.0030030	2006-08-21	2007-01-16	2007-03-02
10.1371/journal.pcbi.1000682	2008-09-17	2010-01-21	2010-02-19
10.1371/journal.ppat.1000884	2009-10-02	2010-03-30	2010-05-06
10.1371/journal.pntd.0000784	2010-01-04	2010-07-07	2010-08-10
10.1371/journal.pmed.0040067	2006-05-17	2007-01-04	2007-02-27
10.1371/journal.pbio.1001605	2012-09-26	2013-05-30	2013-07-09
10.1371/journal.pmed.0030261	2005-09-26	2006-04-13	2006-07-18
10.1371/journal.pgen.1003807	2013-03-11	2013-08-05	2013-10-10
10.1371/journal.pbio.1001403	2012-02-07	2012-08-28	2012-10-09
10.1371/journal.ppat.1001036	2010-02-11	2010-07-12	2010-08-05
10.1371/journal.pgen.0040029	2006-06-27	2007-12-21	2008-02-15
10.1371/journal.pmed.0020103	2004-09-06	2005-02-24	2005-04-26
10.1371/journal.pbio.1001957	2014-05-19	2014-08-20	2014-09-30
10.1371/journal.pgen.1001366	2010-08-09	2011-03-07	2011-04-14
10.1371/journal.pntd.0003127	2014-02-26	2014-07-19	2014-08-28
10.1371/journal.ppat.1003363	2012-10-17	2013-04-02	2013-05-23
10.1371/journal.pone.0065327	2012-11-26	2013-04-24	2013-06-04
10.1371/journal.pcbi.1000166	2007-12-10	2008-07-21	2008-08-29
10.1371/journal.pone.0080503	2013-05-02	2013-10-03	2013-12-02
10.1371/journal.pntd.0002560	2012-11-26	2013-10-14	2013-11-21
10.1371/journal.pcbi.0030063	2006-03-30	2007-02-16	2007-04-06
10.1371/journal.pgen.1003647	2013-01-10	2013-06-04	2013-07-18
10.1371/journal.pone.0068394	2013-03-14	2013-05-29	2013-07-02
10.1371/journal.pcbi.1000352	2008-10-09	2009-03-09	2009-04-10
10.1371/journal.ppat.0030074	2006-10-17	2007-04-06	2007-05-25
10.1371/journal.pntd.0002127	2012-06-18	2013-02-08	2013-03-14
10.1371/journal.ppat.1002778	2012-02-01	2012-05-14	2012-06-14
10.1371/journal.pbio.1002123	2014-09-29	2015-03-06	2015-04-28
10.1371/journal.pbio.1000272	2009-08-03	2009-11-13	2009-12-22
10.1371/journal.pcbi.1000370	2008-08-27	2009-03-20	2009-05-01
10.1371/journal.pone.0112119	2014-07-11	2014-10-13	2014-11-07
10.1371/journal.pcbi.1001068	2010-08-01	2010-12-22	2011-01-27
10.1371/journal.pone.0064356	2012-11-02	2013-04-13	2013-06-07
10.1371/journal.pntd.0002958	2013-12-12	2014-05-07	2014-06-19
10.1371/journal.pcbi.1000497	2009-05-07	2009-07-31	2009-09-04
10.1371/journal.pgen.1003126	2012-06-13	2012-10-15	2012-12-20
10.1371/journal.pgen.1000486	2008-11-11	2009-04-20	2009-05-22
10.1371/journal.ppat.1000594	2009-03-23	2009-08-27	2009-09-18
10.1371/journal.ppat.1001191	2010-04-16	2010-10-13	2010-11-11
10.1371/journal.pcbi.1003949	2013-12-04	2014-09-29	2014-11-13
10.1371/journal.pmed.0010008	2004-05-28	2004-08-02	2004-10-19
10.1371/journal.pone.0058704	2012-09-25	2013-02-05	2013-03-12
10.1371/journal.ppat.1004011	2013-08-12	2014-02-04	2014-03-20
10.1371/journal.pcbi.1000989	2010-05-05	2010-10-05	2010-11-11
10.1371/journal.pone.0079987	2013-05-14	2013-10-08	2014-01-29
10.1371/journal.ppat.1002938	2012-03-01	2012-08-16	2012-09-27
10.1371/journal.pgen.1004672	2014-03-11	2014-08-14	2014-10-09
10.1371/journal.pcbi.1000742	2009-09-17	2010-03-15	2010-04-15
10.1371/journal.pbio.1001754	2013-04-29	2013-11-18	2013-12-31
10.1371/journal.pcbi.1003665	2013-09-04	2014-04-28	2014-08-07
10.1371/journal.pntd.0002644	2013-08-24	2013-11-28	2014-01-09
10.1371/journal.pone.0024425	2011-07-07	2011-08-09	2011-09-06
10.1371/journal.pone.0021150	2011-02-11	2011-05-20	2011-06-20
10.1371/journal.pntd.0000916	2010-08-20	2010-11-15	2010-12-14
10.1371/journal.pmed.1001147	2011-02-22	2011-11-09	2011-12-20
10.1371/journal.pbio.1000492	2010-02-16	2010-08-13	2010-09-28
10.1371/journal.ppat.1003827	2013-01-30	2013-10-28	2013-12-19
10.1371/journal.pone.0125633	2014-11-27	2015-03-18	2015-05-07
10.1371/journal.pone.0110421	2014-06-09	2014-09-12	2014-10-22
10.1371/journal.pone.0072168	2012-12-06	2013-07-11	2013-09-27
10.1371/journal.pone.0020540	2011-01-21	2011-05-04	2011-05-26
10.1371/journal.pone.0042320	2012-03-12	2012-07-03	2012-08-13
10.1371/journal.pcbi.1003587	2013-07-19	2014-01-27	2014-04-24
10.1371/journal.ppat.1002085	2010-10-29	2011-04-11	2011-06-23
10.1371/journal.ppat.1003853	2013-05-24	2013-11-12	2014-01-30
10.1371/journal.pgen.1003389	2012-10-25	2013-01-28	2013-03-21
10.1371/journal.pcbi.1004029	2014-07-31	2014-11-06	2015-01-08
10.1371/journal.pntd.0003314	2014-07-30	2014-10-03	2014-11-20
10.1371/journal.pgen.1000895	2010-01-07	2010-03-04	2010-04-01
10.1371/journal.pntd.0003107	2014-05-14	2014-07-09	2014-08-21
10.1371/journal.pmed.0050206	2008-02-26	2008-09-09	2008-10-28
10.1371/journal.pone.0106905	2014-05-19	2014-08-10	2014-09-11
10.1371/journal.pntd.0002341	2013-01-25	2013-06-16	2013-08-01
10.1371/journal.pcbi.1002615	2011-12-13	2012-06-04	2012-10-18
10.1371/journal.pntd.0001047	2010-08-04	2011-03-28	2011-04-26
10.1371/journal.ppat.1002028	2010-10-11	2011-02-28	2011-05-05
10.1371/journal.pntd.0002631	2013-08-06	2013-11-26	2014-01-09
10.1371/journal.pmed.1000164	2009-01-27	2009-09-03	2009-10-13
10.1371/journal.pntd.0000441	2008-12-11	2009-04-23	2009-05-26
10.1371/journal.ppat.1001162	2010-06-22	2010-09-24	2010-10-28
10.1371/journal.pone.0049123	2012-06-11	2012-10-09	2012-11-07
10.1371/journal.pone.0037312	2012-01-13	2012-04-18	2012-05-17
10.1371/journal.ppat.1001050	2010-03-09	2010-07-19	2010-08-19
10.1371/journal.pgen.1004883	2014-07-10	2014-11-10	2015-02-26
10.1371/journal.pcbi.1002478	2011-10-26	2012-02-27	2012-04-12
10.1371/journal.pone.0061049	2012-09-26	2013-03-05	2013-04-15
10.1371/journal.pgen.1002569	2011-02-15	2012-01-16	2012-04-05
10.1371/journal.pntd.0001730	2012-03-15	2012-05-31	2012-07-17
10.1371/journal.pgen.1005031	2014-11-25	2015-01-27	2015-04-01
10.1371/journal.pntd.0000273	2008-03-12	2008-07-10	2008-08-06
10.1371/journal.ppat.1000966	2009-06-12	2010-05-25	2010-06-24
10.1371/journal.pmed.1001484	2012-10-19	2013-06-05	2013-07-16
10.1371/journal.pgen.1001247	2010-08-16	2010-11-15	2010-12-16
10.1371/journal.pntd.0003303	2014-01-06	2014-09-30	2014-11-13
10.1371/journal.pbio.1000387	2009-12-07	2010-04-22	2010-06-01
10.1371/journal.pcbi.1002800	2012-06-13	2012-10-09	2012-12-13
10.1371/journal.pone.0007570	2009-07-30	2009-10-01	2009-10-27
10.1371/journal.pntd.0000934	2010-01-11	2010-12-02	2011-01-04
10.1371/journal.pcbi.1003914	2014-02-13	2014-09-08	2014-11-06
10.1371/journal.pbio.1000155	2009-02-20	2009-06-11	2009-07-21
10.1371/journal.pone.0030038	2011-10-04	2011-12-08	2012-01-17
10.1371/journal.pgen.1000628	2009-05-29	2009-08-03	2009-10-02
10.1371/journal.ppat.1002953	2011-12-16	2012-08-23	2012-10-11
10.1371/journal.pone.0096566	2014-01-10	2014-04-07	2014-05-07
10.1371/journal.pgen.1000415	2008-10-13	2009-02-10	2009-03-13
10.1371/journal.ppat.1003024	2012-05-21	2012-09-26	2012-11-15
10.1371/journal.pcbi.1002403	2011-09-30	2012-01-09	2012-03-01
10.1371/journal.ppat.1002800	2012-01-24	2012-05-30	2012-07-12
10.1371/journal.pbio.1001105	2010-12-07	2011-05-31	2011-07-19
10.1371/journal.pntd.0001513	2011-08-23	2011-12-20	2012-02-28
10.1371/journal.pcbi.1002638	2012-03-19	2012-06-15	2012-08-09
10.1371/journal.pone.0072095	2013-01-29	2013-07-08	2013-08-28
10.1371/journal.ppat.1002204	2010-12-20	2011-06-24	2011-08-25
10.1371/journal.ppat.1000574	2009-04-13	2009-08-11	2009-09-04
10.1371/journal.pntd.0000523	2009-04-14	2009-09-01	2009-09-29
10.1371/journal.ppat.1000393	2008-12-31	2009-03-24	2009-04-17
10.1371/journal.ppat.1003299	2012-10-05	2013-02-25	2013-04-25
10.1371/journal.pcbi.1000417	2009-01-06	2009-05-14	2009-06-19
10.1371/journal.pone.0072679	2012-12-04	2013-07-15	2013-08-26
10.1371/journal.pone.0089859	2013-09-16	2014-01-24	2014-02-26
10.1371/journal.pcbi.1002357	2011-07-29	2011-12-05	2012-02-02
10.1371/journal.pmed.1001120	2011-04-07	2011-09-30	2011-11-08
10.1371/journal.pntd.0002218	2012-08-01	2013-04-04	2013-05-16
10.1371/journal.pbio.1001460	2012-10-26	2012-11-13	2012-12-27
10.1371/journal.pcbi.1000827	2010-03-02	2010-05-21	2010-06-24
10.1371/journal.pgen.1003085	2012-06-29	2012-09-28	2012-11-29
10.1371/journal.pmed.0030358	2005-10-13	2006-06-29	2006-09-19
10.1371/journal.pntd.0003501	2014-11-06	2014-12-28	2015-02-26
10.1371/journal.pcbi.1002533	2011-10-17	2012-04-01	2012-05-31
10.1371/journal.pbio.1001871	2013-11-04	2014-04-17	2014-05-27
10.1371/journal.ppat.1001195	2010-07-14	2010-10-14	2010-11-18
10.1371/journal.pgen.1003069	2012-07-10	2012-09-20	2012-11-29
10.1371/journal.pgen.1000320	2008-09-24	2008-11-26	2009-01-02
10.1371/journal.pcbi.1003220	2013-01-11	2013-07-28	2013-09-12
10.1371/journal.ppat.1000493	2009-01-09	2009-05-28	2009-06-26
10.1371/journal.pone.0051031	2012-08-02	2012-10-29	2012-12-10
10.1371/journal.pone.0016513	2010-10-19	2011-01-04	2011-01-31
10.1371/journal.pcbi.1000140	2007-12-12	2008-06-23	2008-08-01
10.1371/journal.pntd.0003307	2014-08-12	2014-10-01	2014-11-20
10.1371/journal.pone.0071011	2013-02-20	2013-06-25	2013-08-01
10.1371/journal.ppat.1003543	2012-11-07	2013-06-24	2013-08-15
10.1371/journal.pcbi.1002975	2012-05-10	2013-01-23	2013-03-21
10.1371/journal.ppat.1002733	2012-01-11	2012-04-20	2012-06-07
10.1371/journal.pcbi.1002207	2011-04-28	2011-08-05	2011-10-13
10.1371/journal.pgen.1004949	2014-10-01	2014-12-09	2015-01-23
10.1371/journal.pcbi.1003384	2013-05-22	2013-10-21	2013-12-12
10.1371/journal.pntd.0001925	2012-07-12	2012-10-16	2012-11-29
10.1371/journal.pcbi.1002064	2010-12-10	2011-04-08	2011-06-09
10.1371/journal.pgen.1003047	2012-03-29	2012-09-11	2012-11-08
10.1371/journal.pgen.1004448	2013-10-21	2014-05-07	2014-07-10
10.1371/journal.pone.0031533	2011-10-20	2012-01-09	2012-02-14
10.1371/journal.pcbi.1003696	2014-01-29	2014-05-14	2014-07-17
10.1371/journal.pgen.1004113	2013-07-06	2013-12-02	2014-02-06
10.1371/journal.ppat.1001255	2010-08-06	2010-12-10	2011-01-13
10.1371/journal.pgen.1004490	2013-05-08	2014-05-21	2014-07-17
10.1371/journal.ppat.0030141	2007-06-07	2007-08-10	2007-10-05
10.1371/journal.pntd.0002969	2014-01-23	2014-05-22	2014-08-07
10.1371/journal.ppat.1003273	2012-08-27	2013-02-11	2013-03-28
10.1371/journal.pgen.1001047	2009-12-24	2010-07-02	2010-08-05
10.1371/journal.ppat.1000047	2008-01-18	2008-03-20	2008-04-18
10.1371/journal.pgen.1000175	2007-11-27	2008-07-18	2008-09-05
10.1371/journal.pone.0037250	2012-01-19	2012-04-18	2012-05-15
10.1371/journal.pbio.1001249	2011-07-23	2011-12-07	2012-01-24
10.1371/journal.pntd.0001432	2011-08-11	2011-10-29	2011-12-13
10.1371/journal.ppat.1003373	2012-09-25	2013-04-05	2013-05-23
10.1371/journal.pcbi.1003670	2013-10-30	2014-04-28	2014-06-19
10.1371/journal.pntd.0003308	2014-04-16	2014-10-02	2014-11-13
10.1371/journal.pgen.1004893	2014-06-27	2014-11-13	2015-01-08
10.1371/journal.pntd.0003567	2014-10-02	2015-01-26	2015-04-17
10.1371/journal.pone.0123132	2014-11-18	2015-02-16	2015-04-02
